MONTH,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
July,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,,,0.0
June,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.0,,3.0
December,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,7.3,,1.5
September,JAPAN,Japan,Earthquake,Very Doubtful Tsunami,,,
April,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,6.5,,1.0
November,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,,,0.0
November,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,,,1.5
May,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.0,50.0,2.0
September,TURKEY,Mediterranean Sea,Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
July,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,,,0.0
September,HONDURAS,Caribbean Sea,Earthquake,Very Doubtful Tsunami,,,
March,USA,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,6.0,,0.0
October,USA,West Coast of North and Central America,Earthquake,Questionable Tsunami,,,0.0
August,COSTA RICA,West Coast of North and Central America,Earthquake and Landslide,Questionable Tsunami,7.2,,1.5
August,COSTA RICA,West Coast of North and Central America,Earthquake,Questionable Tsunami,7.2,,1.5
May,USA,West Coast of North and Central America,Earthquake and Landslide,Very Doubtful Tsunami,,,0.0
January,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Probable Tsunami,,,0.5
January,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6.0,,0.0
December,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Very Doubtful Tsunami,,,
November,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Very Doubtful Tsunami,,,2.0
December,MEXICO,West Coast of North and Central America,Earthquake,Questionable Tsunami,7.0,,0.0
November,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,,,
November,MARTINIQUE (FRENCH TERRITORY),Caribbean Sea,Earthquake,Questionable Tsunami,,,
November,MARTINIQUE (FRENCH TERRITORY),Caribbean Sea,Earthquake,Definite Tsunami,,,
September,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,6.8,150.0,-1.5
May,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,,,0.0
,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,,,0.0
November,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,6.8,,0.0
May,USA,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,,,
September,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,,,
October,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake and Landslide,Very Doubtful Tsunami,7.9,,0.5
May,PERU,West Coast of South America,Earthquake,Questionable Tsunami,,,1.5
March,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,,1.0
January,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.3,,0.5
July,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Very Doubtful Tsunami,,,0.5
February,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,6.0,,0.0
January,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.3,70.0,2.0
December,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,6.0,,1.5
November,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,,,1.5
May,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,
September,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,7.3,100.0,0.5
November,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,7.5,,0.5
July,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.5,,1.0
March,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,,,0.5
March,MEXICO,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,7.0,,0.0
March,MEXICO,West Coast of North and Central America,Earthquake,Probable Tsunami,,,0.5
December,TRINIDAD AND TOBAGO,Caribbean Sea,Earthquake,Very Doubtful Tsunami,,,
August,JAPAN,Japan,Earthquake,Definite Tsunami,6.5,,0.5
August,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,,,1.5
March,ANTIGUA AND BARBUDA,Caribbean Sea,Earthquake,Questionable Tsunami,,,
October,JAMAICA,Caribbean Sea,Earthquake,Very Doubtful Tsunami,,,
February,COSTA RICA,Caribbean Sea,Earthquake,Questionable Tsunami,,,
April,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Very Doubtful Tsunami,6.8,20.0,
April,MEXICO,West Coast of North and Central America,Earthquake,Questionable Tsunami,7.3,,1.0
December,HAITI,Caribbean Sea,Earthquake,Questionable Tsunami,,,
April,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,,,0.0
June,HAITI,Caribbean Sea,Earthquake,Definite Tsunami,,,
October,USA,West Coast of North and Central America,Earthquake and Landslide,Probable Tsunami,6.8,,0.5
March,ALBANIA,Mediterranean Sea,Earthquake,Probable Tsunami,6.3,,3.0
January,ALBANIA,Mediterranean Sea,Earthquake,Questionable Tsunami,6.5,,4.0
October,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,6.0,,0.0
October,USA,West Coast of North and Central America,Earthquake and Landslide,Probable Tsunami,6.3,,0.5
December,GREECE,Mediterranean Sea,Earthquake and Landslide,Definite Tsunami,7.3,,4.0
October,CHILE,West Coast of South America,Earthquake,Definite Tsunami,7.6,,2.5
November,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.6,,3.0
October,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,8.3,,3.0
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,
July,USA,West Coast of North and Central America,Earthquake and Landslide,Probable Tsunami,6.0,,0.0
January,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Probable Tsunami,8.0,,3.0
August,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,,,3.0
July,VENEZUELA,Caribbean Sea,Earthquake,Definite Tsunami,6.7,,
September,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,7.5,,1.5
October,ALBANIA,Mediterranean Sea,Earthquake,Questionable Tsunami,6.6,,3.0
February,TURKEY,Mediterranean Sea,Earthquake,Probable Tsunami,7.2,,3.0
November,CHILE,West Coast of South America,Earthquake,Definite Tsunami,7.5,,2.5
April,MEXICO,West Coast of North and Central America,Earthquake,Probable Tsunami,8.0,,1.5
February,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,7.0,,0.0
October,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,6.5,,4.0
July,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,7.5,,
February,GUADELOUPE (FRENCH TERRITORY),Caribbean Sea,Earthquake,Definite Tsunami,8.3,33.0,
May,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,8.4,30.0,3.0
January,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,7.0,150.0,0.0
January,ISRAEL,Mediterranean Sea,Earthquake,Probable Tsunami,,,4.0
January,ALBANIA,Mediterranean Sea,Earthquake,Questionable Tsunami,6.4,,4.0
January,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,,,
November,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,7.5,,0.5
September,TRINIDAD AND TOBAGO,Caribbean Sea,Earthquake,Questionable Tsunami,,,
February,COLOMBIA,Caribbean Sea,Earthquake,Very Doubtful Tsunami,6.3,,
January,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.8,,3.0
October,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,,,1.0
November,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.5,,2.0
May,COSTA RICA,Caribbean Sea,Earthquake,Questionable Tsunami,7.6,,
January,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.5,,
May,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.6,,1.5
June,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,7.7,,
April,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.5,,2.0
August,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.8,,3.0
December,USA,West Coast of North and Central America,Earthquake and Landslide,Definite Tsunami,7.5,,1.5
November,JAMAICA,Caribbean Sea,Earthquake,Questionable Tsunami,,,
March,VENEZUELA,Caribbean Sea,Earthquake,Questionable Tsunami,7.7,33.0,
September,JAPAN,Japan,Earthquake,Definite Tsunami,6.6,,0.0
December,PERU,West Coast of South America,Earthquake,Probable Tsunami,7.5,,0.5
June,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.7,,3.0
January,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,,,
December,JAPAN,Japan,Earthquake,Definite Tsunami,6.6,,
August,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Very Doubtful Tsunami,8.4,,2.0
August,JAMAICA,Caribbean Sea,Questionable Earthquake,Very Doubtful Tsunami,,,
June,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.5,,3.0
April,JAPAN,Japan,Volcano,Definite Tsunami,,,1.0
November,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Volcano and Earthquake,Very Doubtful Tsunami,,,0.5
December,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,7.0,,2.0
January,PERU,West Coast of South America,Earthquake,Probable Tsunami,,,1.5
October,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,,,1.0
March,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,8.3,,2.5
April,USA,"Hawaii, Johnston Atoll, Midway I",Earthquake,Definite Tsunami,7.9,,3.5
November,USA TERRITORY,Caribbean Sea,Earthquake,Definite Tsunami,7.5,33.0,
August,JAPAN,Japan,Earthquake,Definite Tsunami,8.0,,2.0
March,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Volcano,Definite Tsunami,,,1.0
April,JAPAN,Japan,Earthquake,Definite Tsunami,8.4,,2.5
March,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,6.5,,1.0
November,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.5,,3.0
February,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.2,,3.0
December,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,,2.5
November,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,8.3,75.0,2.5
February,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,,2.0
March,MEXICO,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,,,
November,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,8.3,100.0,2.5
,USA,Alaska (including Aleutian Islands),Landslide,Definite Tsunami,,1.0,4.0
April,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake and Landslide,Definite Tsunami,8.0,,1.5
June,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,,1.0
September,JAPAN,Japan,Earthquake,Probable Tsunami,6.5,,1.0
December,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.0,,2.0
September,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,7.1,,4.0
June,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,6.5,,1.0
February,JAPAN,Japan,Earthquake,Definite Tsunami,8.3,33.0,2.0
April,INDONESIA,Indian Ocean (including west coast of Australia),Volcano,Definite Tsunami,,,1.5
March,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.0,20.0,2.0
June,JAPAN,Japan,Earthquake,Definite Tsunami,6.4,,1.0
February,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,8.0,,3.0
August,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,8.0,,4.0
July,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,8.0,,4.0
August,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,7.3,,1.0
May,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,7.8,,1.5
December,JAPAN,Japan,Earthquake,Definite Tsunami,8.3,,3.0
January,USA TERRITORY,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Probable Tsunami,7.5,,2.0
May,HAITI,Caribbean Sea,Earthquake,Definite Tsunami,8.1,,
July,JAPAN,Japan,Earthquake,Definite Tsunami,7.6,,2.0
December,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,7.5,80.0,3.5
July,JAPAN,Japan,Earthquake,Definite Tsunami,7.3,,1.0
April,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,,3.0
May,JAPAN,Japan,Volcano,Definite Tsunami,6.4,,3.0
November,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake and Landslide,Probable Tsunami,7.0,150.0,1.5
December,JAPAN,Japan,Earthquake,Definite Tsunami,8.4,,2.5
February,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,8.5,70.0,3.0
August,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.5,25.0,3.5
May,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,7.0,,2.5
August,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,7.0,,0.0
November,TRINIDAD AND TOBAGO,Caribbean Sea,Landslide,Probable Tsunami,,,
May,ITALY,Mediterranean Sea,Volcano,Definite Tsunami,,,4.0
July,USA,Alaska (including Aleutian Islands),Landslide,Definite Tsunami,,,2.5
June,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3.0
July,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Questionable Tsunami,,,
October,INDONESIA,Indian Ocean (including west coast of Australia),Volcano,Questionable Tsunami,,,0.0
July,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Volcano,Very Doubtful Tsunami,,,0.0
August,MARTINIQUE (FRENCH TERRITORY),Caribbean Sea,Volcano,Definite Tsunami,,,
November,USA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake,Questionable Tsunami,,,
May,MARTINIQUE (FRENCH TERRITORY),Caribbean Sea,Volcano,Questionable Tsunami,,,
February,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,,,0.0
November,USA,West Coast of North and Central America,Meteorological,Very Doubtful Tsunami,,,-3.0
April,USA,West Coast of North and Central America,Meteorological,Very Doubtful Tsunami,,,2.0
November,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Questionable Tsunami,,,
June,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Questionable Tsunami,,,
October,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Definite Tsunami,,,
July,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Questionable Tsunami,,,
August,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Questionable Tsunami,,,0.5
June,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Volcano,Definite Tsunami,,,1.0
October,USA,"Hawaii, Johnston Atoll, Midway I",Volcano and Landslide,Definite Tsunami,,,2.0
July,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,,,1.0
June,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Questionable Tsunami,,,
June,SAMOA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Questionable Tsunami,,,
June,EGYPT,Mediterranean Sea,Earthquake,Probable Tsunami,,,
September,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Very Doubtful Tsunami,,,
September,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Very Doubtful Tsunami,6.9,60.0,0.5
July,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Volcano,Questionable Tsunami,,,0.5
December,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Event that only caused a seiche or disturbance in an inland river,6.2,,
,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,7.0,,
May,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,
May,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,
November,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,,,
August,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.0,,1.0
August,USA,West Coast of North and Central America,Earthquake and Landslide,Questionable Tsunami,,,
September,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Probable Tsunami,5.5,33.0,0.0
December,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,,,3.0
January,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,6.5,,0.0
February,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Very Doubtful Tsunami,6.0,,0.0
January,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,6.9,33.0,
March,USA,West Coast of North and Central America,Earthquake and Landslide,Probable Tsunami,6.7,,
November,USA,West Coast of North and Central America,Earthquake and Landslide,Probable Tsunami,,,
February,USA,"Hawaii, Johnston Atoll, Midway I",Earthquake,Very Doubtful Tsunami,7.0,,
March,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,5.5,15.0,1.0
July,FIJI,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,,,1.0
February,ECUADOR,West Coast of South America,Earthquake,Definite Tsunami,,,0.5
November,JAPAN,Japan,Earthquake,Very Doubtful Tsunami,,,1.0
February,VANUATU,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,8.0,,1.5
March,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.5,,0.5
May,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,33.0,
,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,8.0,,2.0
July,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,6.8,,0.0
January,SRI LANKA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,,,
January,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.2,33.0,
January,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,,,1.0
January,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,7.4,33.0,
August,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.7,14.0,3.0
February,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.2,130.0,
December,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6.7,,-1.0
June,JAPAN,Japan,Earthquake,Definite Tsunami,6.0,33.0,
July,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,6.5,,
November,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,7.0,70.0,-1.0
October,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,7.0,,0.5
October,JAPAN,Japan,Earthquake,Questionable Tsunami,7.0,,1.5
January,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,
June,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,,,
November,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6.0,,0.0
December,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,6.2,60.0,1.0
September,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,
November,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,,-2.0
June,MEXICO,West Coast of North and Central America,Earthquake,Questionable Tsunami,7.0,,
April,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,0.5
March,USA TERRITORY,Caribbean Sea,Earthquake,Questionable Tsunami,,,
November,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,6.4,33.0,0.5
September,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,8.0,70.0,2.5
February,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,0.0
August,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,,,0.5
April,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,0.0
